Term,Description,Context
ESA,coil magnetometer (SCM)4. electrostatic analyzer,SLC-17B Scientific Instruments:1. electric field instruments (EFI)2. fluxgate magnetometer (FGM)3. search coil magnetometer (SCM)4. electrostatic analyzer (ESA)5. solid state telescope (SST)Results: The two Artemis lunar orbit missions were  
SST,analyzer (ESA)5. solid state telescope,SLC-17B Scientific Instruments:1. electric field instruments (EFI)2. fluxgate magnetometer (FGM)3. search coil magnetometer (SCM)4. electrostatic analyzer (ESA)5. solid state telescope (SST)Results: The two Artemis lunar orbit missions were  
THEMIS,Events and Macroscale Interactions during Sub storms,"repurposed from the original Time History of  Events and Macroscale Interactions during Sub-storms (THEMIS) mission that involved five NASA satellites, THEMIS A, B, C, D, and E, which stud "
RA,Instruments:1. robotic arm,"SLC-17A Scientific Instruments:1. robotic arm (RA)2. microscopy, electrochemistry, and conduc "
MECA,"electrochemistry, and conduc tivity analyzer","Scientific Instruments:1. robotic arm (RA)2. microscopy, electrochemistry, and conduc -tivity analyzer (MECA) "
RAC,(MECA) 3. robotic arm camera,"-tivity analyzer (MECA) 3. robotic arm camera (RAC)4. surface stereo imager (SSI)5. thermal and evolved gas analyzer (TEGA)6. Mars descent imager (MARDI)7. meteorological station (MET)Results: The Phoenix mission was a landing mis-sion to Mars, the first under NASA™s new Mars  "
SSI,camera (RAC)4. surface stereo imager,"-tivity analyzer (MECA) 3. robotic arm camera (RAC)4. surface stereo imager (SSI)5. thermal and evolved gas analyzer (TEGA)6. Mars descent imager (MARDI)7. meteorological station (MET)Results: The Phoenix mission was a landing mis-sion to Mars, the first under NASA™s new Mars  "
TEGA,(SSI)5. thermal and evolved gas analyzer,"-tivity analyzer (MECA) 3. robotic arm camera (RAC)4. surface stereo imager (SSI)5. thermal and evolved gas analyzer (TEGA)6. Mars descent imager (MARDI)7. meteorological station (MET)Results: The Phoenix mission was a landing mis-sion to Mars, the first under NASA™s new Mars  "
MARDI,evolved gas analyzer (TEGA)6. Mars descent imager,"-tivity analyzer (MECA) 3. robotic arm camera (RAC)4. surface stereo imager (SSI)5. thermal and evolved gas analyzer (TEGA)6. Mars descent imager (MARDI)7. meteorological station (MET)Results: The Phoenix mission was a landing mis-sion to Mars, the first under NASA™s new Mars  "
MET,descent imager (MARDI)7. meteorological station,"-tivity analyzer (MECA) 3. robotic arm camera (RAC)4. surface stereo imager (SSI)5. thermal and evolved gas analyzer (TEGA)6. Mars descent imager (MARDI)7. meteorological station (MET)Results: The Phoenix mission was a landing mis-sion to Mars, the first under NASA™s new Mars  "
MRO,MarsŠMars Reconnaissance Orbiter,"-ing it toward the northern polar region of Mars.  As it approached Mars, the orbits of three other spacecraft orbiting MarsŠMars Reconnaissance Orbiter (MRO), 2001 Mars Odyssey, and Mars  "
XRS,Instruments: 1. x ray spectrometer,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
GRS,(XRS) 2. gamma ray spectrometer,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
MI,3. multi band imager,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
SP,(MI) 4. spectral profiler,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
TC,(SP) 5. terrain camera,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
LRS,(TC) 6. lunar radar sounder,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
LALT,radar sounder (LRS) 7. laser altimeter,UTLaunch Site: Tanegashima / Area Y1 Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT) 
LMAG,altimeter (LALT) 8. lunar magnetometer,Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT)  8. lunar magnetometer (LMAG) 9. charged particle spectrometer (CPS) 10. plasma energy angle and composition experiment (PACE) 
CPS,(LMAG) 9. charged particle spectrometer,Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT)  8. lunar magnetometer (LMAG) 9. charged particle spectrometer (CPS) 10. plasma energy angle and composition experiment (PACE) 
PACE,plasma energy angle and composition experiment,Scientific Instruments: 1. x-ray spectrometer (XRS) 2. gamma-ray spectrometer (GRS) 3. multi-band imager (MI) 4. spectral profiler (SP) 5. terrain camera (TC) 6. lunar radar sounder (LRS) 7. laser altimeter (LALT)  8. lunar magnetometer (LMAG) 9. charged particle spectrometer (CPS) 10. plasma energy angle and composition experiment (PACE) 
RS,11. radio science experiment, 8. lunar magnetometer (LMAG) 9. charged particle spectrometer (CPS) 10. plasma energy angle and composition experiment (PACE)  11. radio science experiment (RS) 12. 
UPI,upper atmosphere and plasma imager, 11. radio science experiment (RS) 12.  upper atmosphere and plasma imager (UPI) 13. four-way Doppler measurements by relay  
RSAT,satellite and main orbiter transponder, upper atmosphere and plasma imager (UPI) 13. four-way Doppler measurements by relay  satellite and main orbiter transponder (RSAT) 
VRAD,14. differential VLBI radio source experiment,"satellite and main orbiter transponder (RSAT)  14. differential VLBI radio source experiment (VRAD) 15. high-definition television (HDTV)Results: SELENE (Selenological and Engineering Explorer), named Kaguya (ﬁMoon princessﬂ) after  "
HDTV,experiment (VRAD) 15. high definition television,"satellite and main orbiter transponder (RSAT)  14. differential VLBI radio source experiment (VRAD) 15. high-definition television (HDTV)Results: SELENE (Selenological and Engineering Explorer), named Kaguya (ﬁMoon princessﬂ) after  "
FC,Instruments:1. framing camera,SLC-17B Scientific Instruments:1. framing camera (FC)2. visible and infrared mapping spectrometer (VIR)3. gamma ray and neutron detector (GRaND)This image from Dawn shows Kupalo Crater on Ceres.  
VIR,visible and infrared mapping spectrometer,SLC-17B Scientific Instruments:1. framing camera (FC)2. visible and infrared mapping spectrometer (VIR)3. gamma ray and neutron detector (GRaND)This image from Dawn shows Kupalo Crater on Ceres.  
GRaND,spectrometer (VIR)3. gamma ray and neutron detector,SLC-17B Scientific Instruments:1. framing camera (FC)2. visible and infrared mapping spectrometer (VIR)3. gamma ray and neutron detector (GRaND)This image from Dawn shows Kupalo Crater on Ceres.  
LAMO,to as low as 385 kilometers,"the mission, scientists had envisioned four differ-ent circular mapping orbitsŠcalled RC3, Survey,  HAMO, and LAMOŠaround Ceres, from one as high as 13,600 kilometers (RC3) to as low as 385 kilometers (LAMO). Dawn remained in its first mapping orbit, RC3, from 23 April to 9 May 2015  "
TMC,Satellite: 1. terrain mapping camera,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
HySI,camera (TMC) 2. hyper spectral imager,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
LLRI,(HySI) 3. lunar laser ranging instrument,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
HEX,high energy x ray spectrometer,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
MIP,(HEX) 5. Moon impact probe,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
CIXS,6. Chandrayaan 1 x ray spectrometer,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
SARA,8. Sub keV atom reflecting analyzer,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
RADOM,mineralogy mapper (M3) 11. radiation dose monitor,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
CHASE,Chandra™s altitudinal composition explorer (mass spectrometer),"Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  (mass spectrometer) (CHASE)Results: Chandrayaan-1, the first Indian deep space  "
MIP,Moon Impact Probe,"UT, Chandrayaan released its 29-kilogram Moon  Impact Probe (MIP) which fired a small deorbit  "
PRS,Point Rest State,"to have failed. Given that an earlier one failed in July 2012 and that at least three such wheels were needed to accurately aim the telescope, there was anxiety that the mission might be jeopardized. Subsequent to that point, and after another safe mode event in late May, Kepler operated in Point  Rest State (PRS) modeŠwhere the spacecraft  "
HIFI,heterodyne instrument for the far infrared,Launch Site: Kourou / ELA 3 Scientific Instruments:1. infrared telescope2. heterodyne instrument for the far infrared (HIFI)3. photoconductor array camera and spec-trometer (PACS) 
PACS,photoconductor array camera and spec trometer,Launch Site: Kourou / ELA 3 Scientific Instruments:1. infrared telescope2. heterodyne instrument for the far infrared (HIFI)3. photoconductor array camera and spec-trometer (PACS) 
SPIRE,(PACS) 4. spectral and photometric imaging receiver,Scientific Instruments:1. infrared telescope2. heterodyne instrument for the far infrared (HIFI)3. photoconductor array camera and spec-trometer (PACS) 4. spectral and photometric imaging receiver (SPIRE)Results: Both Herschel and Planck were launched by the same Ariane launch vehicle and were both ESA  
LFI,Scientific Instruments:1. low frequency instrument,Launch Site: Kourou / ELA-3 Scientific Instruments:1. low frequency instrument (LFI)2. high frequency instrument (HFI)3. telescopeResults: Both Herschel and Planck were launched by the same Ariane launch vehicle as ESA mis 
HFI,instrument (LFI)2. high frequency instrument,Launch Site: Kourou / ELA-3 Scientific Instruments:1. low frequency instrument (LFI)2. high frequency instrument (HFI)3. telescopeResults: Both Herschel and Planck were launched by the same Ariane launch vehicle as ESA mis 
CMB,Cosmic Microwave Background,"-sions (although Herschel, especially, had signifi -cant NASA contributions) but they had different science objectives. Planck, named after German physicist Max Planck (1858Œ1947) was the first European space observatory whose primary objective was to study the Cosmic Microwave Background (CMB). The spacecraft used sensitive radio receivers operating at very low temperatures  "
WMAP,Wilkinson Microwave Anisotropy Probe,"to determine the black body equivalent tempera-ture of the background radiation. Such measure-ments were then used to produce detailed maps of directional (anisotropic) temperature differences in the CMB radiation field, improving upon obser-vations made by NASA™s Wilkinson Microwave  Anisotropy Probe (WMAP)ŠPlanck had a higher resolution and sensitivity than WMAP. Besides  "
SVM,units. The octagonal service module,microwave radiation and directed it into the focal  plane units. The octagonal service module (SVM)  
LRO,highly successful mission.221Lunar Reconnaissance Orbiter,"Finally, at 12:10:27 UT, on 23 October 2013, ESA  sent the final command to shut down Planck, end-ing a highly successful mission.221Lunar Reconnaissance Orbiter (LRO) "
CRaTER,ray telescope for the effects of radi ation,SLC-41 Scientific Instruments:1. cosmic ray telescope for the effects of radi-ation (CRaTER)NASA™s Lunar Reconnaissance Orbiter (LRO) captured  
LRO,Lunar Reconnaissance Orbiter,SLC-41 Scientific Instruments:1. cosmic ray telescope for the effects of radi-ation (CRaTER)NASA™s Lunar Reconnaissance Orbiter (LRO) captured  
DLRE,diviner lunar radiometer experiment,2.  diviner lunar radiometer experiment (DLRE)3. Lyman-Alpha mapping project (LAMP) 
LAMP,experiment (DLRE)3. Lyman Alpha mapping project,2.  diviner lunar radiometer experiment (DLRE)3. Lyman-Alpha mapping project (LAMP) 
LEND,(LAMP) 4. lunar exploration neutron detector, diviner lunar radiometer experiment (DLRE)3. Lyman-Alpha mapping project (LAMP) 4. lunar exploration neutron detector (LEND)5. lunar orbiter laser altimeter (LOLA)6. 
LOLA,detector (LEND)5. lunar orbiter laser altimeter, diviner lunar radiometer experiment (DLRE)3. Lyman-Alpha mapping project (LAMP) 4. lunar exploration neutron detector (LEND)5. lunar orbiter laser altimeter (LOLA)6. 
LROC,(LOLA)6. lunar reconnaissance orbiter camera,4. lunar exploration neutron detector (LEND)5. lunar orbiter laser altimeter (LOLA)6.  lunar reconnaissance orbiter camera (LROC)7. Mini-RF miniature radio frequency radarResults: The Lunar Reconnaissance Orbiter (LRO) was part of NASA™s now-cancelled Lunar Precursor  
LRO,Lunar Reconnaissance Orbiter,4. lunar exploration neutron detector (LEND)5. lunar orbiter laser altimeter (LOLA)6.  lunar reconnaissance orbiter camera (LROC)7. Mini-RF miniature radio frequency radarResults: The Lunar Reconnaissance Orbiter (LRO) was part of NASA™s now-cancelled Lunar Precursor  
ESMD,Exploration Systems Mission Directorate,"last one year and overseen by NASA™s Exploration  Systems Mission Directorate (ESMD). During this period, LRO gathered information on day-night  "
SMD,Mission Directorate,"-ity of water in the permanently shadowed regions. In September 2010, LRO operations were handed over to NASA™s Science Mission Directorate  (SMD) to continue the science phase of the mis "
NGSLR,Next Generation Satellite Laser Ranging,"demonstration of laser communication with a lunar satellite when, in January 2013, NASA scientists  beamed an image of the Mona Lisa from the Next Generation Satellite Laser Ranging (NGSLR) sta-tion at NASA™s Goddard Space Flight Center in  "
LRO,Lunar Reconnaissance Orbiter,"The new orbit allowed LRO™s LOLA instrument  to produce better return signals and also allow it On June 10, 2011, Lunar Reconnaissance Orbiter (LRO) took this dramatic view of the Tycho crater. The summit of the  "
LCROSS,more years.222Lunar Crater Observation and Sensing Satellite,was about 30 kilograms. It is not unlikely that the spacecraft will remain operational in its low ellipti-cal orbitŠwhich was about 30 × 150 kilometers in late 2016Šfor several more years.222Lunar Crater Observation and  Sensing Satellite (LCROSS) 
TLP,infrared spectrometers6. total luminescence photometer,"SLC-41 Scientific Instruments:1. visible camera2. 2 near infrared cameras3. 2 mid-infrared cameras4. visible spectrometer5. 2 near infrared spectrometers6. total luminescence photometer (TLP)Results: The mission of Lunar Crater Observa-tion and Sensing Satellite (LCROSS), like LRO,  "
LCROSS,of Lunar Crater Observa tion and Sensing Satellite,"SLC-41 Scientific Instruments:1. visible camera2. 2 near infrared cameras3. 2 mid-infrared cameras4. visible spectrometer5. 2 near infrared spectrometers6. total luminescence photometer (TLP)Results: The mission of Lunar Crater Observa-tion and Sensing Satellite (LCROSS), like LRO,  "
LRO,Lunar Reconnaissance Orbiter,impact a little later. LCROSS was launched along  with the Lunar Reconnaissance Orbiter (LRO)  
VCO,ice˜crystals.2692010 223Venus Climate Orbiter,pure ice˜crystals.2692010 223Venus Climate Orbiter (VCO) /  
UVI,micron camera (IR2)3. ultraviolet imager,Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. 1-micron camera (IR1)2. 2-micron camera (IR2)3. ultraviolet imager (UVI)4. longwave infrared camera (LIR)5. lightning and airglow camera (LAC)6. ultra-stable oscillator (USO)7. radio science experiment (RS)Artist™s impression of Japan™s Venus Climate Orbiter.  
LIR,imager (UVI)4. longwave infrared camera,Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. 1-micron camera (IR1)2. 2-micron camera (IR2)3. ultraviolet imager (UVI)4. longwave infrared camera (LIR)5. lightning and airglow camera (LAC)6. ultra-stable oscillator (USO)7. radio science experiment (RS)Artist™s impression of Japan™s Venus Climate Orbiter.  
LAC,(LIR)5. lightning and airglow camera,Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. 1-micron camera (IR1)2. 2-micron camera (IR2)3. ultraviolet imager (UVI)4. longwave infrared camera (LIR)5. lightning and airglow camera (LAC)6. ultra-stable oscillator (USO)7. radio science experiment (RS)Artist™s impression of Japan™s Venus Climate Orbiter.  
USO,camera (LAC)6. ultra stable oscillator,Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. 1-micron camera (IR1)2. 2-micron camera (IR2)3. ultraviolet imager (UVI)4. longwave infrared camera (LIR)5. lightning and airglow camera (LAC)6. ultra-stable oscillator (USO)7. radio science experiment (RS)Artist™s impression of Japan™s Venus Climate Orbiter.  
RS,(USO)7. radio science experiment,Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. 1-micron camera (IR1)2. 2-micron camera (IR2)3. ultraviolet imager (UVI)4. longwave infrared camera (LIR)5. lightning and airglow camera (LAC)6. ultra-stable oscillator (USO)7. radio science experiment (RS)Artist™s impression of Japan™s Venus Climate Orbiter.  
RCS,the smaller reaction control system,"showed that the thrust was about one-ninth of normal (about 4.1 kg). As a result, a new plan was  formulated to discard all the unused oxidizer (65 kilograms), lightening the spacecraft, and using the smaller reaction control system (RCS) thrusters to attempt Venus orbital insertion on 22 November  "
ALADDIN,Scientific Instruments:1. instrument to measure variation in dust density,"Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. instrument to measure variation in dust density (ALADDIN)2. gamma-ray burst polarimeter (GAP)Results: One of the most unique and innovative missions in the history of deep space exploration, IKAROS (Interplanetary Kite-craft Accelerated by  "
GAP,(ALADDIN)2. gamma ray burst polarimeter,"Launch Site: Tanegashima / Area Y1 Scientific Instruments:1. instrument to measure variation in dust density (ALADDIN)2. gamma-ray burst polarimeter (GAP)Results: One of the most unique and innovative missions in the history of deep space exploration, IKAROS (Interplanetary Kite-craft Accelerated by  "
TDI,Instruments:1. CCD camera,Launch Site: Xichang / LC2 Scientific Instruments:1. CCD camera (TDI)2. descent camera3. directional antenna surveillance camera4. solar wing surveillance camera2732010 
LRO,Lunar Reconnaissance Orbiter,"-ing site of CE-3 in Sinus Iridum. It returned to its nominal orbit two days later after obtaining a large number of high resolution images of the sur-face, some down to 1.2 to 1.5 meters resolution. In February 2012, Chinese authorities released a full  map of the Moon at 7 meters resolution, claimed at the time as the highest resolution map of the Moon. Of all recent probes to the Moon, only the photographs from Lunar Reconnaissance Orbiter (LRO) had higher resolution. CE-2™s main lunar  "
GS,Instruments:1. gravity science system,SLC-41 Scientific Instruments:1. gravity science system (GS)2. microwave radiometer (MWR)3. vector magnetometer (MAG)4. JADE and JEDI plasma and energetic par-ticle detectors5. Waves radio/plasma wave sensor 
MWR,science system (GS)2. microwave radiometer,SLC-41 Scientific Instruments:1. gravity science system (GS)2. microwave radiometer (MWR)3. vector magnetometer (MAG)4. JADE and JEDI plasma and energetic par-ticle detectors5. Waves radio/plasma wave sensor 
MAG,microwave radiometer (MWR)3. vector magnetometer,SLC-41 Scientific Instruments:1. gravity science system (GS)2. microwave radiometer (MWR)3. vector magnetometer (MAG)4. JADE and JEDI plasma and energetic par-ticle detectors5. Waves radio/plasma wave sensor 
UVS,wave sensor 6. ultraviolet imager/spectrometer,"Scientific Instruments:1. gravity science system (GS)2. microwave radiometer (MWR)3. vector magnetometer (MAG)4. JADE and JEDI plasma and energetic par-ticle detectors5. Waves radio/plasma wave sensor 6. ultraviolet imager/spectrometer (UVS)7. infrared imager/spectrometer (JIRAM)8. JunoCamResults: Juno, NASA™s second New Frontiers mis "
JIRAM,sensor 6. ultraviolet imager/spectrometer (UVS)7. infrared imager/spectrometer,"Scientific Instruments:1. gravity science system (GS)2. microwave radiometer (MWR)3. vector magnetometer (MAG)4. JADE and JEDI plasma and energetic par-ticle detectors5. Waves radio/plasma wave sensor 6. ultraviolet imager/spectrometer (UVS)7. infrared imager/spectrometer (JIRAM)8. JunoCamResults: Juno, NASA™s second New Frontiers mis "
RTGs,to use radioisotope thermoelectric generators,not to use radioisotope thermoelectric generators  (RTGs) for power and relies on three giant solar  
LGRS,Scientific Instruments:1. lunar gravity ranging system,SLC-17B Scientific Instruments:1. lunar gravity ranging system (LGRS)2. MoonKAM (Moon Knowledge Acquired  
RSB,system3. radio science beacon,by Middle school student) lunar-imaging  system3. radio science beacon (RSB)Results: Gravity Recovery and Interior Laboratory  
GRAIL,Gravity Recovery and Interior Laboratory,"system3. radio science beacon (RSB)Results: Gravity Recovery and Interior Laboratory  (GRAIL), the eleventh of NASA™s Discovery Pro "
MRO,Mars Recon naissance Orbiter,avionics were derived from NASA™s Mars Recon -naissance Orbiter (MRO). The names ﬁEbbﬂ and  
FOGS,mass spectrometer) 2. gamma ray spectrometer,Scientific Instruments: 1. gas chromatograph package (TDA analyzer  + KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST) 
KhEND,gamma ray spectrometer (FOGS) 3. neutron spectrometer,Scientific Instruments: 1. gas chromatograph package (TDA analyzer  + KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST) 
MIMOS,3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer,Scientific Instruments: 1. gas chromatograph package (TDA analyzer  + KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST) 
LAZMA,Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer,Scientific Instruments: 1. gas chromatograph package (TDA analyzer  + KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST) 
MANAGA,spectrometer (LAZMA) 6. mass spectrometer for secondary ions,Scientific Instruments: 1. gas chromatograph package (TDA analyzer  + KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST) 
AOST,secondary ions (MANAGA) 7. Fourier spectrometer,Scientific Instruments: 1. gas chromatograph package (TDA analyzer  + KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST) 
