Term,Definitions
radar targets,Objects which reflect a sufficient amount of a radar signal to produce an echo signal on the radar screen.
radar tracking,
radar transmission,
radar transmitters,
Radarsat,"A civilian remote sensing satellite that will be polar orbiting and is jointly being developed by Canada and the United Kingdom with NASA providing the launch. In addition to a synthetic aperture radar, it may carry other instruments such as the Advanced Along Track Scanning Radiometer (AATSR) and the Advanced Radar Altimeter (ARA)/Ocean Wave Spectrometer (OWS). Launch is planned for 1994."
radarscopes,"The cathode ray oscilliscopes used in radar sets, which display the received signal in such a manner as to indicate things such as range or bearing. Used for radar displays."
radial distribution,
radial flow,
radial velocity,"In radar, that vector component of the velocity of a moving target that is directed away from or toward the ground station."
radiance,"In radiometry, a measure of the intrinsic radiant intensity emitted by a radiator in a given direction. It is the irradiance (radiant flux density) produced by radiation from the source upon a unit surface area oriented normal to the line between source and receiver, divided by the solid angle subtended by the source at the receiving surface. It is assumed that the medium between the radiator and receiver is perfectly transparent; therefore radiance is independent of attenuation between source and receiver."
radiancy,The rate of radiant energy emission from a unit area of a source in all the radial directions of the overspreading hemisphere.
radiant cooling,
radiant flux density,"The rate of radiant energy emission from a unit area of a source in all the radial directions of the overspreading hemisphere. Used for power density (electromagnetic), radiant intensity, and radiation intensity."
radiant heating,
~ radiation,The process by which energy is emitted or transferred in the form of photons or electromagnetic waves. Used for radiant energy and radiation emission.
radiation absorption,
Radiation and Meteoroid satellite,
radiation belts,Envelopes of charged particles trapped in the magnetic field of a spatial body. Used for geomagnetically trapped particles and Van Allen radiation belts.
radiation chemistry,"The branch of chemistry concerned with the chemical effects, including decomposition, of energetic radiation or particles of matter."
radiation counters,"Instruments used for detecting or measuring moving subatomic particles by a counting process. Used for ionization counters, particle counters, and particle detectors."
radiation damage,
radiation detectors,
radiation distribution,
radiation dosage,"The amount of radiation absorbed by a material, system, or tissue in a given amount of time; usually measured in units as roentgen. Used for radiation exposure."
radiation effects,
radiation hardening,
radiation hazards,
radiation injuries,
radiation laws,
radiation measurement,
radiation measuring instruments,
Radiation Meteoroid spacecraft,
radiation pressure,Pressure exerted upon any material body by electromagnetic radiation incident upon it.
radiation protection,
radiation pyrometers,
radiation shielding,
radiation sickness,"A syndrome following intense acute exposure to ionizing radiation. It is characterized by nausea and vomiting a few hours after exposure. Further symptoms include bloody diarrhea, hemorrhage under the skin (and internally), epilation (hair falling out), and a decrease in blood cell level."
radiation sources,
radiation spectra,
radiation therapy,
radiation tolerance,
radiation transport,The study of radiation from emission to absorption.
radiation trapping,Confinement of radiation with a magnetic field.
radiative forcing,Stratospherically adjusted radiative flux change at the Earth's troposphere as influenced by a natural or anthropomorphic climate factor.
radiative heat transfer,
radiative lifetime,
radiative recombination,
radiative transfer,
~ radiators,"Any sources of radiant energy, especially electromagnetic radiation. Devices that dissipate the heat from something as from water or oil, not necessarily by radiation only."
radicals,
radii,
radio altimeters,Devices that measure the altitude of a craft above the terrain by measuring the elapsed time between transmission of radio waves from the craft and the reception of the same waves reflected from the terrain. Used for radar altimeters.
radio antennas,
radio astronomy,"The study of celestial objects through observation of radiofrequency waves emitted or reflected by these objects. Specifically, the study of celestial objects by measurement of the radiation emitted by them in the radiofrequency range of the electromagnetic spectrum."
Radio Astronomy Explorer satellite,
radio attenuation,
Radio Attenuation Measurement project,
radio auroras,
radio beacons,"Transmitters together with their associated equipment, that emit signals enabling the determination, by means of suitable receiving equipment, of direction, distance, or position with respect to the beacon. Used for radio ranges."
radio bursts,
radio communication,
radio control,"Remote control of a pilotless airplane, rocket, or spacecraft by means of radio signals that activate controlling devices."
radio direction finders,"Radio receiving sets, together with associated equipment, used to determine the direction from which a radio signal is transmitted. Used for direction finders (radio) and radar direction finders."
radio echoes,
radio electronics,
radio emission,
radio equipment,
radio filters,
radio frequencies,Frequencies at which coherent electromagnetic radiation of energy is useful for communications purposes.
radio frequency discharge,
radio frequency heating,
radio frequency impedance probes,
radio frequency interference,Degredation of the reception of a wanted signal caused by radio frequency disturbance.
radio frequency shielding,
radio galaxies,
radio horizons,Loci or points at which direct rays from a radio transmitter become tangential to the Earth's surface.
radio interferometers,Interferometers operating at radio frequencies. Radio interferometers are used in radio astronomy and in satellite tracking.
radio jets (astronomy),Jets of energetic particles occurring in radio galaxies and quasars usually emitted from the nuclear (active) region of the extragalactic radio source.
radio meteorology,
radio meteors,Meteors which have been detected by the reflection of radio signals from the meteor trails of relatively high ion density (ion columns).
radio navigation,Navigation based upon the reception of radio signals.
radio observation,
radio occultation,
radio physics,
radio probing,
radio range,
radio receivers,
radio reception,
radio relay systems,
radio scattering,
radio signals,
radio sources (astronomy),Celestial objects that emit radio waves.
radio spectra,Frequencies of electromagnetic radiation usable for radio communication.
radio spectroscopy,
radio stars,
radio telegraphy,
radio telemetry,
radio telescopes,"Devices for receiving, amplifying, and measuring the intensity of radio waves originating outside the Earth's atmosphere or reflected from a body outside the atmosphere."
radio tracking,
radio transmission,The transmission of signals by means of radiated electromagnetic waves other than light or heat waves. Used for radio propagation and radio signal propagation.
radio transmitters,"Devices for producing radio-frequency power, for purposes of radio transmission."
radio wave refraction,
radio waves,Waves produced by oscillation of an electric charge at a frequency useful for radio communication. Used for radio frequency radiation.
radioactive age determination,
radioactive contaminants,
~ radioactive debris,
radioactive decay,The spontaneous transformation of a nuclide into one or more nuclides accompanied by the release of radiation.
radioactive isotopes,
radioactive materials,
radioactive wastes,
radioactivity,"Spontaneous disintegration of atomic nuclei with emission of corpuscular or electromagnetic radiations. The number of spontaneous disintegrations per unit mass and per unit time of a given unstable (radioactive) element, usually measured in curies."
radiobiology,The study of the effects produced on living organisms by radiation.
radiocardiography,The technique of recording an intravenously injected radioisotope in the heart chambers.
radiochemical separation,
radiochemistry,
radiogenic materials,
radiogoniometers,
radiography,
radioimmunoassay,A medical diagnostic procedure for the components (hormones and immunoglobulins primarily) as well as pharmaceuticals in the blood. The RIA is based on the antigen antibody reactions.
radioisotope batteries,
radioisotope heat sources,Heat sources comprised of encapsulated radioactive isotopes; often used as heat units in thermoelectric generators.
radiology,
radiolysis,
radiometeorographs,
radiometers,"Instruments for detecting and, usually, measuring radiant energy."
radiometric correction,An effort to correct the intensity range of an image. Used for radiometric rectification.
radiometric resolution,The sensitivity of the sensor to distinguish between gray levels.
radiopathology,
radiophosphors,
radiosondes,"Instruments, usually balloonborne, for the simultaneous measurement and transmission of meteorological data while moving vertically through the atmosphere."
radiotelephones,
radium,
radium 226,
radium isotopes,
radome materials,
radomes,Dielectric housings for antennas. (From RAdar DOME. Pronounced ray-domes.)
radon,
radon isotopes,
Raduga satellite,A Soviet communications satellite in geostationary orbit for radio and TV transmission.
rafts,
rail transportation,
railgun accelerators,"Linear dc motors consisting of a pair of rigid, field-producing rails, and a movable conducting armature."
railroad humping tests,
rails,
rain,
rain erosion,The wearing away of the land by rain.
rain forests,
rain gages,
rain impact damage,
rainbows,
raindrops,
rainmaking,
rainstorms,
~ rakes,
~ ram,
ram accelerators,
RAM B launch vehicle,
Raman lasers,
Raman spectra,Spectra of the modified frequencies resulting from inelastic scattering when matter is irradiated by a monochromatic beam of radiant energy. Used for Raman effect and Raman scattering.
Raman spectroscopy,
ramjet engines,"Jet engines with no mechanical compressor consisting of specially shaped tubes or ducts open at both ends, the air necessary for combustion being shoved into the duct and compressed by the forward motion of the engine, where the air passes through a diffuser and is mixed with fuel and burned, the exhaust gases issuing in a jet from the rear opening. Ramjet engines cannot operate under static conditions. Often called ramjets. Used for athodyds."
ramjet missiles,
ramp functions,
~ ramps,
ramps (structures),
rams (presses),
rams (pumps),
Ramsauer effect,
rand project,
random access,"The process of obtaining data from, or placing data into, storage when there is no sequential relation governing the access time to successive storage location."
random access memory,
random errors,"Errors that are not systematic, are not erratic, and are not mistakes."
random loads,
random noise,"Oscillations whose instantaneous amplitudes occur, as a function of time according to a normal (Gaussian) curve. Used for Gaussian noise."
random numbers,Expressions formed by sets of digits selected from a sequence of digits in which each successive digit is equally likely to be any of the digits.
random processes,
random sampling,The process of selecting units for a sample of size n in such a manner that all cobinations of n units under consideration have an equal or ascertainable chance of being selected as the sample.
random signals,
random variables,"Variables characterized by random behavior in assuming their different possible values. Mathematically, they are described by their probability distribution, which specifies the possible values of a random variable together with the probability associated (in an appropriate sense) with each value. Random variables are said to be continuous if their possible values extend over a continuum and discrete if their possible values are separated by finite intervals."
random vibration,
random walk,
~ range,
range and range rate tracking,
range errors,Errors in radar range measurement due to the propagation of radio energy through a nonhomogeneous atmosphere. These errors are due to the fact that the velocity of radio wave propagation varies with the index of refraction and that ray travel is not in straight lines through actual atmospheres. The resulting range errors are generally insignificant.
range (extremes),
range finders,
range resources,
range safety,
rangefinding,
rangelands,"Land providing forage for domestic and wild animals, wildlife cover, recreation opportunities, and vegetation for watershed protection."
Ranger 1 lunar probe,
Ranger 2 lunar probe,
Ranger 3 lunar probe,
Ranger 4 lunar probe,
Ranger 5 lunar probe,
Ranger 6 lunar probe,
Ranger 7 lunar probe,
Ranger 8 lunar probe,
Ranger 9 lunar probe,
Ranger block 3 television system,
Ranger lunar landing vehicles,
Ranger lunar probes,
Ranger project,
ranges (facilities),
rank tests,
Rankine cycle,"An ideal thermodynamic cycle consisting of heat addition at constant pressure, isentropic expansion, heat rejection at constant pressure, and isentropic compression; used as an ideal standard for the performance of heat-engine and heat-pump installations operating with a condensable vapor as the working fluid, such as a steam power plant."
Rankine-Hugoniot relation,
ranking,
Raoult law,
rapid ballistics identification,
rapid eye movement state,
rapid prototyping,"The fabrication of functional prototypes within a short turn-around time in order to support model verification, reduce design-cycle time, or reduce the overall cost of development. A set of advanced manufacturing technologies that can quickly generate three-dimensional objects directly from computer-based models."
rapid quenching (metallurgy),Rapid cooling of molten metals or alloys to achieve maximum uniformity in the crystal structure. Used for rapid solidification.
rapid transit systems,
rapids,
rare earth alloys,
rare earth compounds,
rare earth elements,
~ rare gas compounds,
rare gas-halide lasers,A class of lasers in which the inert gases are used as the amplifying medium.
rare gases,"Gases such as helium, neon, argon, krypton, xenon, and radon, all of whose shells of planetary electrons contain stable numbers of electrons so that the atoms are almost completely chemically inactive. Used for inert gases and noble gases."
rarefaction,
rarefied gas dynamics,
rarefied gases,
rarefied plasmas,
raster scanning,Sweeping a cathode ray screen or an antenna beam characterized by a network of parallel sweeps either from side to side or from top to bottom.
rate of climb indicators,
rates (per time),
ratings,
ratiometers,
rational functions,
rations,
ratios,
rats,
ravines,
rawinsondes,"Combinations of raob and rawin; observations of temperature, pressure, relative humidity, and winds-aloft by means of radiosonde and radio direction finding equipment of radar tracking."
ray tracing,A procedure used in the graphical determination of the path followed by a single ray of radiant energy as it travels through media of varying indices of refraction.
Rayleigh-Benard convection,The flow of a fluid contained between horizontal thermally conducting plates and heated from below. The Rayleigh number is proportional to the temperature difference between the plates.
Rayleigh distribution,
Rayleigh equations,
Rayleigh fading,"Rapid-fluctuation, small-scale fading resulting from multipath effects, and typically occurring in non-line-of-sight (NLOS) environments."
Rayleigh number,
Rayleigh-Ritz method,
Rayleigh scattering,Any scattering process produced by spherical particles whose radii are smaller than about one tenth the wavelength of the scattered radiation.
Rayleigh waves,"Two dimensional barotropic disturbances in a fluid having one or more discontinuities in the vorticity profile. Surface waves associated with the free boundary of a solid, such that a surface particle describes an ellipse whose major axis is normal to the surface and whose center is at the undisturbed surface. At maximum particle displacement away from the solid surface the motion of the particle is opposite to that of the wave."
rayon,"A manufactured fiber composed of regenerated cellulose, as well as fibers composed of regenerated cellulose in which substituents have replaced not more than 15 percent of the hydrogens of the hydroxyl groups."
~ rays,
Raytheon computers,
razor blades,
RC circuits,
RCA-110 computers,
RCA computers,
RCA Satcom satellites,Domestic commercial communications satellites launched by NASA for the RCA Corporation.
RCA spectra 70 computer,
RDX,
reactance,
reacting flow,Fluid flows in which chemical reactions are occurring or potentially can occur. Used for chemically reacting flow.
~ reaction,
reaction bonding,Chemical combining of ingredients to produce silicon nitride ceramics.
~ reaction control,
reaction-diffusion equations,
reaction intermediates,"Substances formed during or contributing towards, the synthesis or metabolism of other products. Reaction intermediates may also be the desired product of two or more inital reacting materials."
reaction kinetics,
reaction products,"The substances formed in a chemical reaction -- the desired items as well as the unwanted fumes, sludge, residues, etc."
reaction time,"In human engineering, the interval between an input signal (physiological) or a stimulus (psychophysiological) and the response elicited by the signal. Used for reverse time."
reaction wheels,
reactivity,"The ability to react. For proper use of the term, the reaction in question and the conditions should be stated and the parameter used in measuring reactivity indicated, such as rate, uniformity, or the like."
reactor cores,"In nuclear reactors, the regions containing the fissionable material."
reactor design,
reactor materials,
reactor physics,
reactor safety,Theoretical and experimental investigations of the behavior of reactor types and designs under various real or hypothetical accidents.
reactor startup tests,
reactor technology,
~ reactors,
read-only memory devices,Computer devices for storing data in permanent or nonerasable form. Used for ROM devices.
readers,
reading,
readout,
reagents,
real gases,
real numbers,
real time operation,Time in which reporting on events or recording of events is simultaneous with the events.
real variables,
reattached flow,
rebreathing,
receivers,"Initial components or sensing elements of measuring systems. For example, the receiver of a thermoelectric thermometer is the measuring thermocouple. Instruments used to detect the presence and to determine the information carried by electromagnetic radiation. Receivers include circuits designed to detect, amplify, rectify, and shape the incoming radio frequency signals received at the antenna in such a manner that the information containing component of the received energy can be delivered to the desired indicating of recording equipment. Used for receiving systems."
~ receiving,
reception diversity,
receptors (physiology),Sensory nerve endings or organs in a living organism that is sensitive to physical or chemical stimuli.
recesses,
recession,
recharging,The restoring of discharged electric storage batteries to a charged condition by passing direct current through them in a direction opposite to that of the discharging current.
reciprocal theorems,
reciprocation,
reciprocity theorem,Any theorem expressing reciprocal relations for the behavior of some physical system in which input and output can be interchanged without altering the response of the system to a given excitation.
recirculative fluid flow,
reclamation,
recognition,The psychological process in which an observer so interprets the visual or auditory stimuli he receives from a distant object that he forms a correct conclusion as to the exact nature of that object or sound.
recoil atoms,
recoil ions,
recoil protons,
recoilings,
recombination coefficient,A measure of the specific rate at which oppositely charged ions join to form neutral particles (a measure of ion recombination).
recombination reactions,
recommendations,
reconfigurable hardware,Electronic circuit devices whose architectures can be programmatically modified to suit the application at hand.
reconnaissance,
reconnaissance aircraft,
reconnaissance spacecraft,
reconstruction,
~ recorders,
recording,
recording heads,
recording instruments,
records,
records management,
recoverability,
recoverable launch vehicles,
recoverable spacecraft,
~ recovery,
recovery parachutes,
recovery vehicles,
recovery zones,
recreation,
recrystallization,"In metals, the change from one crystal structure to another, as occurs on heating or cooling through a critical temperature. The formation of a new strain free grain structure from that existing in cold worked metal, usually accomplished by heating."
rectangles,
rectangular beams,
rectangular panels,
rectangular planforms,
rectangular plates,
rectangular waveguides,
rectangular wind tunnels,
rectangular wings,
rectennas,Devices that convert microwave energy into direct-current power by utilizing a number of small diodes each with its own diode rectifier. Used for rectifier antennas.
rectification,
rectifiers,Static devices having an asymmetrical conduction characteristic which is used to convert attending current into direct current.
rectum,
recursive functions,
recycling,
red arcs,
red dwarf stars,"Red stars of low luminosity, so designated by E. Hertzsprung. Red Dwarf stars are commonly those main sequence stars fainter than an absolute magnitude of plus 1, and are the faintest and coolest of the dwarfs."
red giant stars,"Stars whose evolution has progressed to the point where hydrogen core burning has been completed, the helium core has become denser and hotter than originally, and the envelope has expanded to perhaps 100 times its initial size."
Red Sea,
red shift,"In astronomy, the displacement of observed spectral lines toward the longer wavelengths of the red end of the spectrum."
red tide,
Redeye missile,
Redox cells,Cells for converting the energy of reactants to electrical energy; an intermediate reductant in the form of liquid electrolyte reacts at the anode in a conventional manner and is regenerated by reaction with a primary fuel.
reduced order filters,
~ reduction,
reduction (chemistry),
redundancy,"The existence of more than one means of accomplishing a given task, where all means must fail before there is an overall failure of the system."
redundancy encoding,
redundant components,
Reed-Solomon codes,
reeds (plants),
reefs,"Chains of rocks, sand ridges, or coral at or near the surface of water."
reels,
reentry,The event occurring when a spacecraft or other object comes back into the sensible atmosphere after going to higher altitudes; the action involved in this event.
reentry communication,
reentry decoys,
reentry effects,
reentry guidance,
reentry physics,
reentry range,
reentry shielding,
reentry trajectories,Those parts of rocket trajectories that begin at reentry and end at target or at the surface.
reentry vehicles,Any payload carrying vehicles designed to leave the sensible atmosphere and then return through it to Earth. Used for reentry bodies.
reference atmospheres,
reference stars,
~ reference systems,
refilling,
refining,
reflectance,The ratio of the radiant flux reflected by a body to that incident upon it. Used for reflection coefficient and reflectivity.
reflected waves,"Shock waves, expansion waves, or compression waves reflected by another wave incident upon a wall or other boundary. In electronics, radio waves reflected from a surface or object. Used for reflected radiation and reflected rays."
reflecting telescopes,Telescopes which collect light by means of concave mirrors.
reflection,The process whereby a surface of discontinuity turns back a portion of the incident radiation into the medium through which the radiation approached.
reflection nebulae,Any celestial body having a hazy cloudy appearance whose brightness results from the scattering by dust particles of light from nearby stars.
reflectometers,Instruments for measuring reflectance.
reflector antennas,Antennas consisting of one or more reflecting surfaces and a radiating (receiving) feed system.
reflectors,
reflexes,
reforestation,The reestablishment of a tree crop on forest land.
refracted waves,Waves that have had their direction of motion changed by refraction. Used for refracted radiation and refracted rays.
refracting telescopes,Telescopes which collect light by means of a lens or system of lenses.
refraction,"The process in which the direction of energy propagation is changed as the result of a change within the propagating medium, or as the energy passes through the interface representing a density discontinuity between the two media. In the first instance, the rays undergo a smooth bending over a finite distance. In the second case, the index of refraction changes through an interfacial layer that is thin compared to the wavelength of the radiation; thus, the refraction is abrupt, essentially discontinuous."
refractivity,
refractometers,"Instruments for measuring the index of refraction of a liquid, gas, or solid."
refractories,
refractory coatings,Pyrolytic materials used for coating other materials exposed to high temperatures.
refractory materials,
refractory metal alloys,
refractory metals,"Usually alloys of high-melting point, hard-to-work metals, but can also refer to certain unalloyed elements."
refractory period,
refrigerants,
refrigerating,
refrigerating machinery,
refrigerators,
Refsat,A proposed satellite that broadcasts navigation aiding signals to low cost user terminals which employ the constellation of 24 NavStar Global Positioning System (GPS) satellites for position determination.
refueling,
~ regeneration,
regeneration (engineering),
regeneration (physiology),
regenerative cooling,"The cooling of a part of an engine by the fuel or propellant being delivered to the combustion chamber; specifically, the cooling of a rocket engine combustion chamber or nozzle by circulating the fuel or oxidizer, or both, around the part to be cooled."
regenerative fuel cells,
regenerators,Devices used in a thermodynamic process for capturing and returning to the process heat that would otherwise be lost. Used for recuperators.
Regge poles,
regimes,
regional planning,
regions,
~ registers,
registers (air circulation),
registers (computers),"Devices capable of retaining information, often that contained in a small subset (e.g., one word) of the aggregate information in a digital computer."
regolith,The layer rock or blanket or unconsolidated rocky debris of any thickness that overlies bedrock and forms the surface of the land.
regression analysis,"The statistical counterpart or analog of the functional expression, in ordinary mathematics, of one variable in terms of others."
regression coefficients,
regularity,
regulations,
regulators,
regulatory mechanisms (biology),Specific processes by which living organisms control the rates of biochemical and physiological reactions involved in processes such as metabolism and cellular differentiation.
Regulus missile,
reinforced plastics,"Plastics with some strength properties greatly superior to those of the base resin, resulting from the presence of high-strength fillers imbedded in the composition. Note: The reinforcing fillers are usually fibers, fabrics, or mats made of fibers. The plastic laminates are the most common and strongest."
reinforced plates,
reinforced shells,
~ reinforcement,
reinforcement (psychology),
reinforcement rings,
reinforcement (structures),
reinforcing fibers,
reinforcing materials,"Fibers, filaments, fabrics, and other substances used for strengthening of matrices in composite materials."
Reissner-Nordstrom solution,"The unique solution of general relativity theory describing a nonrotating, charged black hole."
Reissner theory,
rejection,
relational data bases,
~ relationships,
relative biological effectiveness (RBE),
relativistic effects,
relativistic electron beams,Beams of electrons traveling at approximately the speed of light. Used for REB.
relativistic particles,Particles with a velocity so large that their relativistic mass exceeds their rest mass by an amount which is significant for the computation or other considerations at hand.
relativistic plasmas,
relativistic theory,
relativistic velocity,A velocity sufficiently high that some properties of a particle of this velocity have values significantly different from those obtaining when the particle is at rest.
relativity,"A principle that postulates the equivalence of the description of the universe, in terms of physical laws, by various observers, or for various frames of reference. Used for geometrodynamics and space-time continuum."
~ relaxation,
relaxation (mechanics),
relaxation method (mathematics),"An iterative numerical method for solving elliptic partial differential equations, e.g., a Poisson equation."
relaxation oscillators,
relaxation (physiology),
relaxation time,"In general, the time required for a system, object, or fluid to recover to a specified condition or value after disturbance. Specifically, the time taken by an exponentially decaying quantity to decrease in amplitude by a factor of 1/e = 0.3679."
~ relay,
Relay 1 satellite,
Relay 2 satellite,
Relay satellites,
releasing,
reliability,"Of a piece of equipment or a system, the probability of specified performance for a given period of time when used in the specified manner."
reliability analysis,
reliability engineering,"The engineering discipline which formulates an acceptable combination of design features, repair philosophy, and maintenance resources to achieve a specified level of reliability as an operational requirement, at optimum life cycle costs."
relic radiation,Background radiation resulting from the primordial big bang.
relief maps,
relief valves,
relieving,
relocation,
reluctance,The ratio of the magnetomotive force to the magnetic flux through any cross section of the magnetic circuit.
remanence,The magnetic flux density which remains in a magnetic circuit after the removal of an applied magnetomotive force. Also called retentivity.
remodulation,
remote consoles,
remote control,"Control of an operation from a distance, especially by means of electricity or electronics; a controlling switch, lever, or other device used in this kind of control. Used for electromagnetic control."
remote handling,
remote manipulator system,Devices used in space for deploying and retrieving payloads by remote control; also used for space maintenance and/or servicing of satellites and other spacecraft.
remote regions,
remote sensing,"The collection of information about an object or phenomena by a recording device that is not in physical contact with it. The term is usually restricted to mean the methods for, and activity of, recording features and phenomena of the Earth surface from a remote platform or vehicle. Typically the methods used record reflected or radiated electromagnetic energy, such as radiometry, photometry, spectrometry, and photographic and radar techniques."
remote sensors,
remotely piloted vehicles,
removal,
renal function,
rendezvous,"The event of two or more objects meeting with zero relative velocity at a preconceived time and place. The point in space at which such an event takes place, or is to take place."
rendezvous guidance,
rendezvous spacecraft,
rendezvous trajectories,
Rene 41,
Rene 63,
Rene 77,
Rene 95,High-strength nickel-base superalloy.
renewable energy,
renin,An enzyme whihc is secreted by the kidney and is formed from protein in plasma and kidney. The enzyme cleaves the Leu-Leu bond in angiotensinogen to generate angiotensin I.
renormalization group methods,
repeaters,
repetition,
replacing,
replenishment,
replicas,
report generators,
reports,
representations,
~ reproduction,
reproduction (biology),
reproduction (copying),
reproductive systems,
reptiles,
Republic aircraft,
Republic of South Africa,
requirements,
rescue operations,
research,
research aircraft,
research and development,
research facilities,
research management,
~ research projects,
research vehicles,
reserpine,
reserves,
reservoirs,
residential areas,
residential energy,"Household energy requirements in residences, apartments, etc."
residual gas,
residual strength,
residual stress,"In structures, any stress in an unloaded body. These stresses arise from local yielding of the material due to machining, welding, quenching or cold working. Used for internal stress."
residues,
resilience,
resin bonding,
resin film infusion,
resin matrix composites,"Composite materials utilizing a matrix of filaments and/or fibers of glass, metal, or other material bound with a polymer or resin."
resin transfer molding,
resins,
~ resistance,"In electricity, the factor by which the square of the instantaneous conduction current must be multiplied to obtain the power lost by heat dissipation or other permanent radiation of energy away from the electrical current. In mechanics, the opposition by frictional effects to forces tending to produce motion. Used for conductance and resistance coefficients."
resistance heating,
resistance thermometers,
resistojet engines,
resistors,
resolution,"The ability of a film, a lens, a combination of both, or a vidicon system to render barely distinguishable a standard pattern of black and white lines. In radar, the minimum angular separation at the antenna at which two targets can be distinguished (a function of beamwidth); or the minimum range at which two targets at the same azimuth can be separated (equal to one half the pulse height). Of a gyro, a measure of response to small changes in input; the maximum value of the minimum input change that will cause a detectable change in the output for inputs greater than the threshold, expressed as a percent of one half the input range. Used for resolving power."
resolution cell,
resolvers,
resonance,"The phenomena of amplification of a free wave or oscillation of a system by a forced wave or oscillation of exactly equal period. The forced wave may arise from an impressed force upon the system or from a boundary condition. The growth of the resonant amplitude is characteristically linear in time. Of a system in forced oscillation, the condition which exists when any change, however small, in the frequency of excitation causes a decrease in the response of the system."
resonance charge exchange,
resonance fluorescence,The emission of radiation by a gas or vapor as a result of excitation of atoms to a higher energy level by incident photons at the resonance frequency of the gas or vapor. Used for resonance radiation.
resonance lines,Spectral lines which occur either as absorption or emission lines. Used for dielectronic satellite lines.
resonance probes,
resonance scattering,
resonance testing,
resonant frequencies,Frequencies at which resonance exists. Used for natural frequencies and vibrational frequencies (structural).
resonant tunneling,
resonant tunneling diodes,"Solid-state, nanoelectronic devices capable of producing negative differential resistance comprised of one or more narrow quantum well structures each containing only a single, resonant energy level."
resonant vibration,
resonators,"In radio and radar applications, circuits which will resonate at a given frequency, or over a range of frequencies, when properly excited."
resource allocation,
resources,
resources management,
respiration,The interchange of gases of living organisms and the gases of the medium in which they live. Used for apnea and inhalation.
respirators,
respiratory diseases,
respiratory impedance,
respiratory physiology,
respiratory rate,
respiratory reflexes,
respiratory system,
respirometers,
response bias,
response time (computers),
responses,"Of devices or systems, the motions (or other output) resulting from excitation under specified conditions."
rest,
restartable rocket engines,
restoration,
resultants,The sums of two or more vectors.
resuscitation,
retaining,
retardants,
~ retarders,
retarders (devices),
retarding,
~ retention,
retention (psychology),
reticles,Systems of lines or wires placed in the focal plane of an optical instrument to serve as a reference. Also called a reticule.
reticulocytes,
retina,
retinal adaptation,
retinal images,
retinene,
retirement,
retirement for cause,"Procedure, primarily on aircraft, based on fracture mechanics, which allows safe utilizaton of the full life capacities of each component."
retort processing,One method for converting shale oil into oil similar to petroleum oils.
retractable equipment,
retraining,
retrieval,
retrofiring,
retrofitting,Modification of equipment to incorporate changes made in later production of similar equipment; the changes may be performed in the factory or in the field.
retrograde orbits,"Motion in an orbit opposite to the usual orbital direction of celestial bodies within a given system. Specifically, of a satellite, motion in a direction opposite to the direction of rotation of the primary."
retroreflection,Reflection wherein the reflected rays return along paths parallel to those of their corresponding incident rays. Also called retroflection.
retroreflectors,Class of optical instruments which cause reflected radiation to return along paths parallel to those of their corresponding incident rays.
retrorocket engines,"Rocket engines fitted on or in spacecraft, satellites, or the like to produce thrust opposed to forward motion."
retrothrust,Thrust used for a braking maneuver; reverse thrust. Used for retroaction.
return beam vidicons,
return to Earth space flight,
reusable heat shielding,
reusable launch vehicles,
reusable rocket engines,
reusable spacecraft,
reuse,
revenue,
reverberation,"The persistance of sound in an enclosed space, as a result of multiple reflections, after the sound source has stopped. The sound that persists in an enclosed space, as a result of repeated reflection or scattering after the source of the sound has stopped."
reverberation chambers,Chambers designed to eliminate outside noise for accurate acoustic measurement.
reverse engineering,
reverse field pinch,A method of plasma confinement under investigation as part of the mirror and pinch programs.
reverse osmosis,The application of pressure to stop or reverse the transport of solvent through a semipermeable membrane separating two solutions of different solute concentration. The applied pressure required to prevent the flow of solvent across a perfectly semipermeable membrane is called the osmotic pressure and is a characteristic of the solution.
reversed flow,
reversing,
reviewing,
revisions,
revolving,"Moving in a path about an axis, usually external to the body accomplishing the motion. Used for revolution (motion)."
reward (psychology),
Reynolds averaging,
Reynolds equation,
Reynolds number,"A nondimensional parameter representing the ratio of the momentum forces to the viscous forces in fluid flow. (After Osborne Reynolds, 1842-1912, English scientist). Used for critical Reynolds number."
Reynolds stress,"In the mathematical treatment of a viscous, imcompressible, homogeneous fluid in turbulent motion, that represents the transfer of momentum due to turbulent fluctuations."
Rhea (astronomy),"A natural satellite of the planet Saturn orbiting at a mean distance of 527,000 kilometers."
rhenium,
rhenium alloys,
rhenium compounds,
rhenium isotopes,
rheocasting,Use of partially solidified metal alloys (fractions solids) fed directly into a casting machine for forming into machine parts.
rheoelectrical simulation,
rheoencephalography,
rheology,The study of the deformation and flow of matter.
rheometers,
Rhesus factor,
rheumatic diseases,
rhizopus,
rho-mesons,
rhodamine,
Rhode Island,
rhodium,
rhodium alloys,
rhodium compounds,
rhodium isotopes,
rhombic antennas,"Antennas composed of long wire radiators comprising the sides of a rhombus. The antenna usually is terminated in an impedance. The sides of the rhombus, the angle between the sides, the elevation, and the termination are proportioned to give the desired directivity."
rhombohedrons,
rhomboids,Parallelograms whose adjacent sides are not equal.
Rhone Delta (France),
rhyolite,
~ rhythm,
rhythm (biology),
ribbon parachutes,Parachutes having a canopy consisting of an arrangement of closely spaced tapes. These parachutes have high porosity with attendant stability and slight opening shock.
