,TermUpper,Term,Definitions,Acronym,Source
0,ACTIVE CAVITY RADIOMETER IRRADIANCE MONITOR III,Active Cavity Radiometer Irradiance Monitor III,"The Active Cavity Radiometer Irradiance Monitor III (ACRIM III)
involves the Monitoring of the total variability of solar
irradiance with active cavity radiometer solar monitoring
sensors. ACRIM III was successfully launched on board the
ACRIMSAT spacecraft on December 20, 1999.

Link to the ACRIM website at http://www.acrim.com/2000.htm",ACRIM III,GCMD projects
0,ACTIVE CAVITY RADIOMETER IRRADIANCE MONITOR II,Active Cavity Radiometer Irradiance Monitor II,"The objective of the Active Cavity Radiometer (ACR) Irradiance Monitor (ACRIM) is to measure the total solar irradiance with state-of-the-art accuracy and precision.  The ACRIM instrument was first flown on the Solar Maximum Mission (SMM/ACRIM I) satellite and was flown on all three Atmospheric Laboratory for Applications and Science (ATLAS) missions and the Spacelab 1 misson from the Space Shuttle.  In addition, ACRIM was flown as a flight-of-opportunity instrument on the Upper Atmosphere Research Satellite (UARS/ACRIM II) and is scheduled to fly as a flight-of-opportunity mission during NASAs Earth Observation System (EOS) program (ACRIMSAT/ACRIM III) The principal role of the ACRIM is to support extended solar irradiance experiments on free-flying satellites and establishment of the radiation scale at the solar total flux level through direct intercomparison with other experiments. The total solar irradiance (TSI) from far ultraviolet through far infrared is measured by three Type V active-cavity radiometer sensors. These detectors are electrically self-calibrated, cavity pyrheliometers each capable of defining the absolute radiation scale with an uncertainty of +/- 0.1% SI units. The single sample irradiance precision is +/-0.012 %. The three sensors are independently shuttered and their measurement cycles are different so that the three sensors can be used in various combinations to provide periodic cross references on the systems performance.  For more information about the UARS/ACRIM II and current data availability see:

http://www.ngdc.noaa.gov/stp/solar/uars.html

For information about the latest ACRIM III instrument which was
launched on ACRIMSAT on December 20, 1999, see:

http://earthobservatory.nasa.gov/Library/ACRIMSAT/


Group: Instrument_Details
   Entry_ID: ACRIM II
   Group: Instrument_Identification
      Instrument_Category: Solar/Space Observing Instruments
      Instrument_Class: Visible/Infrared Instruments
      Short_Name: ACRIM II
      Long_Name: Active Cavity Radiometer Irradiance Monitor II
   End_Group
   Group: Associated_Platforms
      Short_Name: UARS
   End_Group
   Online_Resource: http://www.ngdc.noaa.gov/stp/solar/uars.html
   Online_Resource: http://acrim.com/
   Group: Instrument_Logistics
      Instrument_Owner: NASA
   End_Group
End_Group",ACRIM II,GCMD instruments
0,ACTIVE CAVITY RADIOMETER IRRADIANCE MONITOR II,Active Cavity Radiometer Irradiance Monitor II,"The second Active Cavity Radiometer Irradiance Monitor (ACRIM)
      satellite solar monitoring experiment (ACRIM II) has been
      providing total solar irradiance observations since its launch
      as part of the Upper Atmospheric Research Satellite (UARS) in
      late 1991. The UARS is a three-axis stabilized, Earth-oriented
      spacecraft with an orbit at inclination of 57 degrees and
      altitude 585 km. The UARS orbit provides about 60 minutes of
      sunlight in each orbit of which about 35 minutes are available
      for solar viewing. During this period the Solar/Stellar Pointing
      Platform points the instrument to the center of the Sun.

      For more information link to:
http://www.ngdc.noaa.gov/stp/SOLAR/IRRADIANCE/uars.html",ACRIMII,GCMD projects
0,BURST AND TRANSIENT SOURCE EXPERIMENT,Burst And Transient Source Experiment,"The Burst And Transient Source Experiment (BATSE) serves as the
all-sky monitor for the Compton Observatory, detecting and
locating strong transient sources called gamma-ray bursts as
well as outbursts from other sources over the entire sky. There
are eight BATSE detectors, one facing outward from each corner
of the satellite, which are sensitive to gamma-ray energies from
20 keV to over one thousand keV.

At the heart of the BATSE detectors are NaI crystals which
produce a flash of visible light when struck by gamma rays. The
flashes are recorded by light-sensitive detectors whose output
signal is digitized and analyzed to determine the arrival time
and energy of the gamma ray which caused the flash. Each BATSE
detector unit consists of a large area detector sensitive to
faint transient events along with a smaller detector optimized
for spectroscopic studies of bright events.

Additional information available at
http://cossc.gsfc.nasa.gov/cgro/batse.html

[Summary provided by NASA]",BATSE,GCMD instruments
0,BURST AND TRANSIENT SOURCE EXPERIMENT,Burst And Transient Source Experiment,"BATSE was a high energy astrophysics experiment in orbit around Earth on NASA&#039;s Compton Gamma-Ray Observatory. The primary objective of BATSE was to study the phenomenon of gamma-ray bursts , although the detectors also recorded data from pulsars , terrestrial gamma-ray flashes , soft gamma repeaters, black holes, and other exotic astrophysical objects. 
BATSE responded to, or triggered on, sudden changes in count rates above background levels. It was also capable of detecting less impulsive sources by measuring their modulation using the Earth Occultation technique. View a typical one-day orbit of the Compton Gamma-Ray Observatory. 

This information is provided by http://www.batse.msfc.nasa.gov/batse/",BATSE,GCMD projects
0,GERMANY,GERMANY,,,GCMD providers
0,GERMANY,GERMANY,,,GCMD locations
0,"ARCHIVING, VALIDATION AND INTERPRETATION OF SATELLITE OCEANOGRAPHIC DATA","Archiving, Validation and Interpretation of Satellite Oceanographic Data","Aviso distributes satellite altimetry data from Topex/Poseidon, Jason-1, ERS-1 and ERS-2, and EnviSat, and Doris precise orbit determination and positioning products.
      
These data are used to study ocean dynamics and geophysics in many applications, including climate prediction, monitoring of mean sea level, global warming, El Ni?o and La Ni?a events, marine currents and ocean circulation, and tide, wind, wave and marine meteorology models.

When delivered in near-real time, these data form the basis for operational oceanography-in other words, ocean monitoring and prediction, particularly within the framework of the Godae program and the Mercator project.
      
Aviso User Services
      
CLS/DOS, 8-10 rue Herms,
Parc Technologique du Canal
F-31526 Ramonville St-Agne, France
tel. (+33)(0)5 61 39 47 80
fax (+33)(0)5 61 39 37 82

http://www.aviso.oceanobs.com/
      
[Summary provided by Aviso User Services]",AVISO,GCMD providers
0,"ARCHIVING, VALIDATION AND INTERPRETATION OF SATELLITE OCEANOGRAPHIC DATA","Archiving, Validation and Interpretation of Satellite Oceanographic Data","The AVISO (Archiving, Validation and Interpretation of Satellite Oceanographic data) program seeks to provide long-term, continuous altimetry datasets by merging past and present satellite altimetry missions. Aviso distributes satellite altimetry data from Topex/Poseidon, Jason-1, ERS-1 and ERS-2, and EnviSat, and Doris precise orbit determination and positioning products.",AVISO,GCMD projects
0,GEOLOGY,GEOLOGY,,GEOLOGY,GCMD providers
0,GEOLOGY,GEOLOGY,,,GCMD discipline
0,PALEOMAP PROJECT,PALEOMAP Project,"The goal of the PALEOMAP Project is to illustrate the plate
tectonic development of the ocean basins and continents, as well
as the changing distribution of land and sea during the past
1100 million years.

Website: http://www.scotese.com/

[Summary provided by Christopher R. Scotese]",PALEOMAP,GCMD providers
0,PALEOMAP PROJECT,PALEOMAP Project,"The goal of the PALEOMAP Project is to illustrate the plate tectonic
development of the ocean basins and continents, as well as the
changing distribution of land and sea during the past 1100 million
years.

      For more information,
      link to http://www.scotese.com/Default.htm",PALEOMAP,GCMD projects
0,BASE DE DONNEES SOLAIRE SOL 2000,Base de donnees Solaire Sol 2000,"The database solar basement, BASS 2000, the first designed to archive all data from solar observing instruments on the ground.

The instruments are: Franco-Italian telescope THEMIS installed in the Canary Islands (Spain) solar instruments still in operation at the Pic du Midi de Bigorre (Lunette Jean Rösch and coronograph CLIMSO) the Spectroheliograph of the Observatoire de Paris Meudon or the Radioheliograph Nançay.

Summary provided by http://bass2000.obspm.fr/home.php",BASS2000,GCMD providers
0,BASE DE DONNEES SOLAIRE SOL 2000,Base de donnees Solaire Sol 2000,"BASS2000 is an archive of french ground-based solar data and is constituted of two components : in Meudon, on-line data catalogues provide daily all observations of the Meudon spectroheliograph, some data of the Nançay radioheliograph and of the total flux antenna, as well as a few images per day of the Pic du Midi coronograph. Processed data are also available (such as synoptic maps for example). In Tarbes, the catalogue of off-line data contains THEMIS data (spectropolarimeter &MTR& and spectro-imagery &MSDP&), all data from the Nançay radioheliograph (all frequencies, full cadence), some data of the L.J.R at the Pic ! du Midi, and a good part of data from the Pic du Midi coronagraph. 
In addition to these solar data catalogues, BASS2000 provide other on-line services : informations about instruments and processing codes, including various informations for the preparation of observations (THEMIS), a bibliography, public outreach pages about solar physics and lists of useful links. 

This information is taken from http://bass2000.obspm.fr/commun/pageac_ang.htm",BASS,GCMD projects
0,CAROLINAS COASTAL OCEAN OBSERVING AND PREDICTION SYSTEM,Carolinas Coastal Ocean Observing and Prediction System,"The Carolinas Coastal Ocean Observing and Prediction System
(Caro-COOPS) initiative is based upon an instrumented array of
coastal and offshore moorings, which are being deployed off of
the coast of the Carolinas. The information from this observing
system will be used to monitor and model estuarine and coastal
ocean conditions, as well as develop predictive tools and
ultimately forecasts for coastal managers. The initial product
of Caro-COOPS will be an advanced, integrated storm surge model,
based on real-time monitoring of hydrologic and meteorological
conditions and processed by state-of-the-art computer
models. Future applications of Caro-COOPS information will
include water quality and transport of pollutants, sediment
transport and shoreline stability, and the state of the
fisheries. Caro-COOPS also includes a sophisticated information
management infrastructure designed to process and deliver
information to a variety of public users, as well as to model
applications.

Caro-COOPS is a partnership among the University of South
Carolina, North Carolina State University, and the University of
North Carolina at Wilmington. It is funded by the National
Oceanic and Atmospheric Administration.

Website: http://caro-coops.org/carocoops_website/index.php

[Summary provided by The Carolinas Coastal Ocean Observing
and Prediction System.]",CARO-COOPS,GCMD providers
0,CAROLINAS COASTAL OCEAN OBSERVING AND PREDICTION SYSTEM,Carolinas Coastal Ocean Observing and Prediction System,"The Carolinas Coastal Ocean Observing and Prediction System
(Caro-COOPS) initiative is based upon an instrumented array of coastal
and offshore moorings, which are being deployed off of the coast of
the Carolinas. The information from this observing system will be used
to monitor and model estuarine and coastal ocean conditions, as well
as develop predictive tools and ultimately forecasts for coastal
managers. The initial product of Caro-COOPS will be an advanced,
integrated storm surge model, based on real-time monitoring of
hydrologic and meteorological conditions and processed by
state-of-the-art computer models. Future applications of Caro-COOPS
information will include water quality and transport of pollutants,
sediment transport and shoreline stability, and the state of the
fisheries. Caro-COOPS also include a sophisticated information
management infrastructure designed to process and deliver information
to a variety of public users, as well as to model applications.",CARO-COOPS,GCMD projects
0,CHRONOS,CHRONOS,"Geologic time is the intellectual theme that connects a wide variety of research endeavors in geoscience - missing is the corresponding cyberinfrastructure that allows the resources of all these endeavors to be pooled. CHRONOS&#039;s (Greek: time) purpose is to transform Earth history research by seamlessly integrating geoscience databases and tools.

Summary Provided By:

http://www.chronos.org/",CHRONOS,GCMD providers
0,CHRONOS,CHRONOS,"CHRONOS provides services for geospatial data via WFS and WMS capabilities URLs can be found to the right of this page. In addition, several tutorials will be provided examples of the use of these resources. 

GIS client:
CHRONOS is integrating the Cartoweb open source cross platform GIS client into the geospatially enabled data sources. The goal is to connect data searched geospatially into the other searches (text and time based) at the CHRONOS site. Also we will connect these with external open data source reachable via service calls. Integrating searches regardless of the user interface is a goal to address the need for researchers to quickly and effectively locate data related to their research efforts. 

Summary provided by http://portal.chronos.org/gridsphere/gridsphere?cid=search_gis",CHRONOS,GCMD projects
0,ESTIMATING THE CIRCULATION AND CLIMATE OF THE OCEAN,Estimating the Circulation and Climate of the Ocean,"The official ECCO homepage can be found at http://www.ecco-group.org. It contains a description of the project and of ongoing experiments, results and animations, a list of publications and the project report series, meeting and workshop schedules, as well as links to the model, model documentation, web-based data servers, and further useful sites.

Summary Provided By:

http://www.ecco.ucsd.edu/",ECCO,GCMD providers
0,ESTIMATING THE CIRCULATION AND CLIMATE OF THE OCEAN,Estimating the Circulation and Climate of the Ocean,"The “Estimating the Circulation and Climate of the Ocean” (ECCO) consortium is directed at making the best possible estimates of ocean circulation and its role in climate. Solutions are obtained by combining state-of-the-art ocean circulation models with nearly complete global ocean data sets in a physically and statistically consistent manner. Products are being utilized to understanding ocean variability, biological cycles, coastal physics, and geodesy, and are available for general applications.",ECCO,GCMD projects
0,GULF OF MAINE OCEAN OBSERVING SYSTEM,Gulf of Maine Ocean Observing System,"GoMOOS is a national pilot program designed to bring hourly oceanographic data 
from the Gulf of Maine to all those who need it, including: 
 
 * Commercial Mariners making everyday decisions that impact their safety and 
 livelihood. 
 * Coastal Resource Managers seeking to maintain economically and 
 environmentally vital resources. 
 * Scientists trying to understand complex ecosystems and predict climate 
 change. 
 * Educators conveying the complexity and urgency of ocean science. 
 * Search and Rescue Teams trying to find and save lives. 
 * Emergency Response Teams mitigating damage from environmental disasters. 
 * Public Health Officials concerned about outbreaks of harmful algal blooms 
 (such as red tide). 
 
 [Summary adopted from the GoMOOS website at
http://dev.gomoos.org/aboutgomoos/]",GOMOOS,GCMD providers
0,GULF OF MAINE OCEAN OBSERVING SYSTEM,Gulf of Maine Ocean Observing System,"GoMOOS is a national pilot program designed to bring hourly oceanographic data
from the Gulf of Maine to all those who need it, including:

* Commercial Mariners making everyday decisions that impact their safety and
livelihood.
* Coastal Resource Managers seeking to maintain economically and
environmentally vital resources.
* Scientists trying to understand complex ecosystems and predict climate
change.
* Educators conveying the complexity and urgency of ocean science.
* Search and Rescue Teams trying to find and save lives.
* Emergency Response Teams mitigating damage from environmental disasters.
* Public Health Officials concerned about outbreaks of harmful algal blooms
(such as red tide).

[Summary adopted from the GoMOOS website at http://dev.gomoos.org/aboutgomoos/]",GOMOOS,GCMD projects
0,NATIONAL OCEANOGRAPHIC PARTNERSHIP PROGRAM,National Oceanographic Partnership Program,"The National Oceanographic Partnership Program (NOPP) is a collaboration of fifteen federal agencies to provide leadership and coordination of national oceanographic research and education initiatives. 

Summary Provided by:

http://www.nopp.org/",NOPP,GCMD providers
0,NATIONAL OCEANOGRAPHIC PARTNERSHIP PROGRAM,National Oceanographic Partnership Program,"The National Oceanographic Partnership Program (NOPP) is a collaboration of fifteen federal agencies to provide leadership and coordination of national oceanographic research and education initiatives. 
NOPP facilitates interactions among federal agencies, academia and industry; increases visibility for ocean issues on the national agenda; and achieves a higher level of coordinated effort across the broad oceanographic community. 

Information provided by http://www.nopp.org/",NOPP,GCMD projects
0,PALEOCLIMATE MODELLING INTERCOMPARISON PROJECT,Paleoclimate Modelling Intercomparison Project,"Summary Provided By:

http://pmip.lsce.ipsl.fr/",PMIP,GCMD providers
0,PALEOCLIMATE MODELLING INTERCOMPARISON PROJECT,Paleoclimate Modelling Intercomparison Project,"[Source:  S. Joussaume and K. E. Taylor, proceedings of the third PMIP workshop, Canada, 4-8 october 1999, in WCRP-111, WMO/TD-1007, edited by P. Braconnot, 9-24, 2000. ]

Atmospheric general circulation models (AGCMs) are continually improving in their ability to simulate the major features of today´s climate. Many of these models are being used to predict future climate change and although there is broad agreement among the models, there are also many differences in the details of their predictions. In order to determine whether models can simulate climatic conditions much different from today, the models can be used to simulate paleoclimates, and paleodata can be used to evaluate the results. Moreover, AGCMs have proved their usefulness to investigate mechanisms of past climate changes (e.g., Joussaume, 1999)). The Paleoclimate Modeling Intercomparison Project (PMIP) was initiated in order to coordinate and encourage the systematic study of AGCMs and to assess their ability to simulate large changes of climate such as those that occurred in the distant past. It also is serving to encourage the preparation of global reconstructions of paleoclimates that can be used to evaluate climate models.

The PMIP effort developed out of a NATO Advanced Research Workshop, convened in 1991, which led to a cooperative and coordinated effort to compare model simulations with paleoclimate data. The workshop participants agreed to focus initially on two specific periods in the past : the last glacial maximum, 21 000 years before present (BP), and the mid-Holocene climate, 6 000 years BP, which correspond to extreme conditions that are relatively well documented. Simulating the last glacial maximum provides an opportunity for assessing the models´ ability to simulate extreme cold conditions as well as for studying the feedbacks associated with both a decrease of the atmospheric CO2 concentration and ice sheet elevation of 2 to 3 km above North America and northern Europe. The simulation of the mid-Holocene conditions is on the other hand a sensitivity experiment in which the seasonal contrast of incoming solar radiation at the top of the atmosphere is changed; 6000 years BP, the seasonal contrast was larger in the northern summer, leading to an increase of summer monsoons over Africa and South Asia.

More Information: http://pmip.lsce.ipsl.fr/",PMIP,GCMD projects
0,PACIFIC ISLANDS OCEAN OBSERVING SYSTEM,Pacific Islands Ocean Observing System,,PacIOOS,GCMD providers
0,PACIFIC ISLANDS OCEAN OBSERVING SYSTEM,Pacific Islands Ocean Observing System,,PacIOOS,GCMD projects
0,ARGENTINA,ARGENTINA,,,GCMD providers
0,ARGENTINA,ARGENTINA,,,GCMD locations
0,AUSTRALIA,AUSTRALIA,,,GCMD providers
0,AUSTRALIA,AUSTRALIA,,,GCMD locations
0,AUSTRIA,AUSTRIA,,,GCMD providers
0,AUSTRIA,AUSTRIA,,,GCMD locations
0,BELGIUM,BELGIUM,,,GCMD providers
0,BELGIUM,BELGIUM,,,GCMD locations
0,BRAZIL,BRAZIL,,,GCMD providers
0,BRAZIL,BRAZIL,,,GCMD locations
0,CANADA,CANADA,,,GCMD providers
0,CANADA,CANADA,,,GCMD locations
0,CHILE,CHILE,,,GCMD providers
0,CHILE,CHILE,,,GCMD locations
0,CHINA,CHINA,,,GCMD providers
0,CHINA,CHINA,,,GCMD locations
0,COLOMBIA,COLOMBIA,,,GCMD providers
0,COLOMBIA,COLOMBIA,,,GCMD locations
0,CZECH REPUBLIC,CZECH REPUBLIC,,,GCMD providers
0,CZECH REPUBLIC,CZECH REPUBLIC,,,GCMD locations
0,DENMARK,DENMARK,,,GCMD providers
0,DENMARK,DENMARK,,,GCMD locations
0,ECUADOR,ECUADOR,,,GCMD providers
0,ECUADOR,ECUADOR,,,GCMD locations
0,ESTONIA,ESTONIA,,,GCMD providers
0,ESTONIA,ESTONIA,,,GCMD locations
0,FINLAND,FINLAND,,,GCMD providers
0,FINLAND,FINLAND,,,GCMD locations
0,FRANCE,FRANCE,,,GCMD providers
0,FRANCE,FRANCE,,,GCMD locations
0,GREECE,GREECE,,,GCMD providers
0,GREECE,GREECE,,,GCMD locations
0,ICELAND,ICELAND,,,GCMD providers
0,ICELAND,ICELAND,,,GCMD locations
0,INDIA,INDIA,,,GCMD providers
0,INDIA,INDIA,,,GCMD locations
0,IRELAND,IRELAND,,,GCMD providers
0,IRELAND,IRELAND,,,GCMD locations
0,ISRAEL,ISRAEL,,,GCMD providers
0,ISRAEL,ISRAEL,,,GCMD locations
0,ITALY,ITALY,,,GCMD providers
0,ITALY,ITALY,,,GCMD locations
0,JAPAN,JAPAN,,,GCMD providers
0,JAPAN,JAPAN,,,GCMD locations
0,LITHUANIA,LITHUANIA,,,GCMD providers
0,LITHUANIA,LITHUANIA,,,GCMD locations
0,MADAGASCAR,MADAGASCAR,,,GCMD providers
0,MADAGASCAR,MADAGASCAR,,,GCMD locations
0,MALAYSIA,MALAYSIA,,,GCMD providers
0,MALAYSIA,MALAYSIA,,,GCMD locations
0,MALAYSIAN ANTARCTIC RESEARCH PROGRAM,MALAYSIAN ANTARCTIC RESEARCH PROGRAM,"In the spirit of Malaysia Boleh, we have travelled all the way to the South Pole to conduct important research in the pursuit of science. If you are a researcher, adventurous, and keen for a trip the Arctics, show us your research proposal. We at Akademi Sains Malaysia (ASM) are always keen for new research proposals. This site also documents the experiences of past expeditions.

Summary Provided By:

http://www.myantarctica.com.my/aboutMARP.htm",MY/MARC,GCMD providers
0,MALAYSIAN ANTARCTIC RESEARCH PROGRAM,Malaysian Antarctic Research Program,"The main theme of the Malaysian Antarctic Research Program is to study the linkages, similarity or differences of either atmospheric processes or biological processes between Antarctic environment and the tropic environment. The Malaysian Antarctic Research Program Task force decided that the program would concentrate its research in the following fields:

- Atmospheric Sciences
- Biological Sciences
- Radio Communication Science

Scientific research projects being carried out by Malaysian scientists are as follows:

- Boundary Layer Studies of Antarctic
- Modelling and Observational Studies of Antarctic Katabatic (MOSAK)
- Polar Atmospheric Water Vapour/Ionospheric Measurement Using GPS
- Model Development and Application of Microwave Remote Sensing in Antarctica
- Microalgal Biodiversity at Antarctica
- Occurrence of Fungi from Extreme Environments
- Diversity and Metabolic Abilities of Antarctic Bacteria
- Antarctica Microbial Genomic: Genomic Sequence Survey of Selected Antarctic Microbes
- The Evolution and Diversity of Antarctica Periphytic Algae
- The Biodiversity of the Benthic Invertebrates Fauna from the Antarctic Marine Ecosystem
- Bacteria Biodegradation and Bioremediation of Hydrocarbons in Antarctica

http://www.rmi.uitm.edu.my/component/content/article/270.html",MARP,GCMD projects
0,MEXICO,MEXICO,,,GCMD providers
0,MEXICO,MEXICO,,,GCMD locations
0,NAMIBIA,NAMIBIA,,,GCMD providers
0,NAMIBIA,NAMIBIA,,,GCMD locations
0,NEPAL,NEPAL,,,GCMD providers
0,NEPAL,NEPAL,,,GCMD locations
0,NETHERLANDS,NETHERLANDS,,,GCMD providers
0,NETHERLANDS,NETHERLANDS,,,GCMD locations
0,NEW ZEALAND,NEW ZEALAND,,,GCMD providers
0,NEW ZEALAND,NEW ZEALAND,,,GCMD locations
0,NICARAGUA,NICARAGUA,,,GCMD providers
0,NICARAGUA,NICARAGUA,,,GCMD locations
0,NORWAY,NORWAY,,,GCMD providers
0,NORWAY,NORWAY,,,GCMD locations
0,PAKISTAN,PAKISTAN,,,GCMD providers
0,PAKISTAN,PAKISTAN,,,GCMD locations
0,PERU,PERU,,,GCMD providers
0,PERU,PERU,,,GCMD locations
0,PHILIPPINES,PHILIPPINES,,,GCMD providers
0,PHILIPPINES,PHILIPPINES,,,GCMD locations
0,POLAND,POLAND,,,GCMD providers
0,POLAND,POLAND,,,GCMD locations
0,PORTUGAL,PORTUGAL,,,GCMD providers
0,PORTUGAL,PORTUGAL,,,GCMD locations
0,SEYCHELLES,SEYCHELLES,,,GCMD providers
0,SEYCHELLES,SEYCHELLES,,,GCMD locations
0,SLOVENIA,SLOVENIA,,,GCMD providers
0,SLOVENIA,SLOVENIA,,,GCMD locations
0,SOUTH AFRICA,SOUTH AFRICA,,,GCMD providers
0,SOUTH AFRICA,SOUTH AFRICA,,,GCMD locations
0,SPAIN,SPAIN,,,GCMD providers
0,SPAIN,SPAIN,,,GCMD locations
0,SWEDEN,SWEDEN,,,GCMD providers
0,SWEDEN,SWEDEN,,,GCMD locations
0,SWITZERLAND,SWITZERLAND,,,GCMD providers
0,SWITZERLAND,SWITZERLAND,,,GCMD locations
0,TAIWAN,TAIWAN,,,GCMD providers
0,TAIWAN,TAIWAN,,,GCMD locations
0,TANZANIA,TANZANIA,,,GCMD providers
0,TANZANIA,TANZANIA,,,GCMD locations
0,THAILAND,THAILAND,,,GCMD providers
0,THAILAND,THAILAND,,,GCMD locations
0,UGANDA,UGANDA,,,GCMD providers
0,UGANDA,UGANDA,,,GCMD locations
0,UKRAINE,UKRAINE,,,GCMD providers
0,UKRAINE,UKRAINE,,,GCMD locations
0,UNITED KINGDOM,UNITED KINGDOM,,,GCMD providers
0,UNITED KINGDOM,UNITED KINGDOM,,,GCMD locations
0,URUGUAY,URUGUAY,,,GCMD providers
0,URUGUAY,URUGUAY,,,GCMD locations
0,VIETNAM,VIETNAM,,,GCMD providers
0,VIETNAM,VIETNAM,,,GCMD locations
0,CRYOSPHERIC CHANGE ANALYSIS WEB SERVICES,Cryospheric Change Analysis Web Services,,NSIDC_CCAWS,GCMD providers
0,CRYOSPHERIC CHANGE ANALYSIS WEB SERVICES,Cryospheric Change Analysis Web Services,"The Cryospheric Change Analysis Web Services (CCAWS) project is developing a scalable cryospheric analysis portal for the study of Greenlands ice mass balance. This portal will include interactive data analysis tools, seamless data access, and interoperable information services. To make this possible, a set of existing subsetting, gridding, projection, and visualization tools at NSIDC will be made into modular Web services. Also, as part of this project, NSIDC will bring in several new data sets.

[Summary provided by NSIDC.]

https://nsidc.org/research/projects/Stroeve_Cryospheric_Change_Analysis.html",CCAWS,GCMD projects
0,MAKING EARTH SYSTEM DATA RECORDS FOR USE IN RESEARCH ENVIRONMENTS,Making Earth System Data Records for Use in Research Environments,,NSIDC_MEaSUREs,GCMD providers
0,MAKING EARTH SYSTEM DATA RECORDS FOR USE IN RESEARCH ENVIRONMENTS,Making Earth System Data Records for Use in Research Environments,"NASA, through its Earth Science Data Systems, supports the NASA Earth Science research community in providing Earth science data products and services driven by NASA’s Earth Science goals. NASA’s Earth Science Program is dedicated to advancing Earth remote sensing and pioneering the scientific use of satellite measurements to improve human understanding of our home planet in order to inform economic and policy decisions and improve operational services of benefit to the Nation. Through the MEaSUREs Program, NASA is continuing its commitment to expand understanding the Earth system using consistent records. NASA has begun to deploy new types of sensors to provide three-dimensional profiles of Earth’s atmosphere and surface. Emphasis is placed into linking together multiple satellites into a constellation, developing the means of utilizing a multitude of data sources to form coherent time series, and facilitating the use of extensive data in the development of comprehensive Earth system models.
      
http://earthdata.nasa.gov/our-community/community-data-system-programs/measures-projects",MEaSUREs,GCMD projects
0,DOI,DOI,"The U.S. Department of the Interior manages one of every five acres of land in
the United States, providing opportunities for wilderness, wildlife protection,
recreation, and resource development. They supply water for much of the west so
that farmers can grow food and people can turn on their taps. They provide
access to energy and minerals so that people can warm and cool their homes, and
drive to their jobs. They honor American Indians, Alaska Natives, and
affiliated Island communities, and protect wildlife and improve the
environment.

Website: http://www.doi.gov/

[Summary provided by the U.S. Department of the Interior.]",,GCMD providers
0,DOI,DOI,DOI = Digital Object Identifier,,GCMD PersistentIdentifier
0,DIGITAL LIBRARY FOR EARTH SYSTEM EDUCATION,Digital Library for Earth System Education,"The Digital Library for Earth System Education (DLESE) is a distributed community effort involving educators, students, and scientists working together to improve the quality, quantity, and efficiency of teaching and learning about the Earth system at all levels.

DLESE supports Earth system science education by providing:

    * Access to high-quality collections of educational resources
    * Access to Earth data sets and imagery, including the tools and interfaces that enable their effective use in educational settings
    * Support services to help educators and learners effectively create, use, and share educational resources
    * Communication networks to facilitate interactions and collaborations across all dimensions of Earth system education

DLESE resources include electronic materials for both teachers and learners, such as lesson plans, maps, images, data sets, visualizations, assessment activities, curriculum, online courses, and much more.

The National Science Foundation provided funding for the development of DLESE which is now operated by the National Center for Atmospheric Research (NCAR) Computational and Information Systems Laboratory and the NCAR Library on behalf of the education community.

Summary provided by http://www.dlese.org/library/index.jsp",DLESE,GCMD providers
0,DIGITAL LIBRARY FOR EARTH SYSTEM EDUCATION,DIGITAL LIBRARY FOR EARTH SYSTEM EDUCATION,"The Digital Library for Earth System Education (DLESE) is a distributed community effort involving educators, students, and scientists working together to improve the quality, quantity, and efficiency of teaching and learning about the Earth system at all levels. 

DLESE supports Earth system science education by providing:

Access to high-quality collections of educational resources 
Access to Earth data sets and imagery, including the tools and interfaces that enable their effective use in educational settings 
Support services to help educators and learners effectively create, use, and share educational resources 
Communication networks to facilitate interactions and collaborations across all dimensions of Earth system education 
DLESE resources include electronic materials for both teachers and learners, such as lesson plans, maps, images, data sets, visualizations, assessment activities, curriculum, online courses, and much more. Funding for DLESE comes in part from the National Science Foundation. 

Information provided by http://www.dlese.org/about/index.html",DLESE,GCMD projects
0,CLIVAR AND CARBON HYDROGRAPHIC DATA OFFICE,CLIVAR AND CARBON HYDROGRAPHIC DATA OFFICE,,,GCMD providers
0,CLIVAR AND CARBON HYDROGRAPHIC DATA OFFICE,CLIVAR and Carbon Hydrographic Data Office,,CLIVAR/CCHDO,GCMD providers
0,COMMISSION FOR THE CONSERVATION OF ANTARCTIC MARINE LIVING RESOURCES,Commission for the Conservation of Antarctic Marine Living Resources,,CCAMLR,GCMD providers
0,COMMISSION FOR THE CONSERVATION OF ANTARCTIC MARINE LIVING RESOURCES,Commission for the Conservation of Antarctic Marine Living Resources,"The Commission for the Conservation of Antarctic Marine Living
Resources (CCAMLR) is an intergovernmental organisation established by
an international convention. The Commission, assisted by its
Scientific Committee, is responsible for developing measures necessary
for the conservation of marine living resources in the Southern Ocean
surrounding Antarctica.

The negotiation of the Convention was initiated by the Antarctic
Treaty Consultative Parties (ATCPs) following reports of scientific
studies expressing concern that unregulated fishing of Antarctic
species, especially krill, could result in irreversible damage to the
populations of other species in the Antarctic marine ecosystem.

For more information, link to
http://www.dfat.gov.au/environment/ccamlr.html",CCAMLR,GCMD projects
0,COPERNICUS - MARINE ENVIRONMENT MONITORING SERVICE,Copernicus - Marine Environment Monitoring Service,,CMEMS,GCMD providers
